team,matches_with_ranking,matches_missing_ranking,missing_rate,earliest_ranking_date,latest_ranking_date
Abkhazia,0,33,1.0,,
Afghanistan,123,24,0.16326530612244897,2003-02-19,2026-04-01
Albania,296,102,0.2562814070351759,1992-12-31,2026-04-01
Alderney,0,135,1.0,,
Algeria,365,252,0.40842787682333875,1992-12-31,2026-04-01
Ambazonia,0,6,1.0,,
American Samoa,41,14,0.2545454545454545,2000-06-07,2026-01-19
Andalusia,0,13,1.0,,
Andorra,228,1,0.004366812227074236,1997-06-18,2026-04-01
Angola,337,78,0.18795180722891566,1992-12-31,2026-04-01
Anguilla,75,16,0.17582417582417584,1998-03-18,2026-01-19
Antigua and Barbuda,186,45,0.19480519480519481,1992-12-31,2025-10-16
Arameans Suryoye,0,10,1.0,,
Argentina,435,634,0.5930776426566885,1992-12-31,2026-04-01
Armenia,269,3,0.011029411764705883,1994-06-14,2026-04-01
Artsakh,0,11,1.0,,
Aruba,91,61,0.40131578947368424,1995-04-19,2026-04-01
Asturias,0,1,1.0,,
Australia,358,223,0.3838209982788296,1992-12-31,2026-04-01
Austria,312,548,0.6372093023255814,1992-12-31,2026-04-01
Aymara,0,2,1.0,,
Azerbaijan,304,6,0.01935483870967742,1994-07-21,2026-04-01
Bahamas,66,1,0.014925373134328358,1993-11-19,2026-01-19
Bahrain,453,131,0.2243150684931507,1992-12-31,2026-04-01
Bangladesh,223,82,0.26885245901639343,1992-12-31,2026-04-01
Barawa,0,12,1.0,,
Barbados,203,99,0.32781456953642385,1992-12-31,2026-01-19
Basque Country,0,64,1.0,,
Belarus,300,15,0.047619047619047616,1992-12-31,2026-04-01
Belgium,349,504,0.5908558030480656,1992-12-31,2026-04-01
Belize,118,3,0.024793388429752067,1996-05-22,2026-01-19
Benin,226,99,0.3046153846153846,1992-12-31,2026-04-01
Bermuda,138,60,0.30303030303030304,1996-12-18,2026-04-01
Bhutan,94,16,0.14545454545454545,2001-04-11,2026-04-01
Biafra,0,3,1.0,,
Bolivia,350,184,0.3445692883895131,1992-12-31,2026-04-01
Bonaire,0,44,1.0,,
Bosnia and Herzegovina,281,3,0.01056338028169014,1996-08-28,2026-06-11
Botswana,296,36,0.10843373493975904,1992-12-31,2026-01-19
Brazil,496,563,0.5316336166194523,1992-12-31,2026-04-01
British Virgin Islands,106,17,0.13821138211382114,1998-03-18,2026-04-01
Brittany,0,12,1.0,,
Brunei,0,137,1.0,,
Bulgaria,321,415,0.563858695652174,1992-12-31,2026-04-01
Burkina Faso,358,106,0.22844827586206898,1992-12-31,2026-04-01
Burundi,196,22,0.10091743119266056,1992-12-31,2026-04-01
Cambodia,202,93,0.3152542372881356,1996-08-28,2026-04-01
Cameroon,381,235,0.3814935064935065,1992-12-31,2026-01-19
Canada,315,155,0.32978723404255317,1992-12-31,2026-06-11
Canary Islands,0,4,1.0,,
Cape Verde,64,171,0.7276595744680852,2020-09-17,2026-04-01
Cascadia,0,7,1.0,,
Catalonia,0,48,1.0,,
Cayman Islands,106,13,0.1092436974789916,1993-10-22,2026-04-01
Central African Republic,102,36,0.2608695652173913,1999-10-13,2026-04-01
Central Spain,0,2,1.0,,
Chad,98,40,0.2898550724637681,1997-09-17,2025-10-16
Chagos Islands,0,16,1.0,,
Chameria,0,7,1.0,,
Chechnya,0,3,1.0,,
Chile,410,425,0.5089820359281437,1992-12-31,2026-04-01
China,0,702,1.0,,
Cilento,0,1,1.0,,
Colombia,426,212,0.3322884012539185,1992-12-31,2026-04-01
Comoros,131,20,0.13245033112582782,2007-07-18,2026-04-01
Congo,211,195,0.4802955665024631,1992-12-31,2025-09-18
Cook Islands,44,9,0.16981132075471697,1998-08-19,2024-07-18
Corsica,0,9,1.0,,
Costa Rica,479,245,0.3383977900552486,1992-12-31,2026-04-01
County of Nice,0,9,1.0,,
Crimea,0,5,1.0,,
Croatia,371,25,0.06313131313131314,1992-12-31,2026-04-01
Cuba,271,126,0.31738035264483627,1994-12-20,2026-01-19
Curaçao,113,272,0.7064935064935065,2011-07-27,2026-04-01
Cyprus,291,135,0.31690140845070425,1992-12-31,2026-04-01
Czech Republic,360,1,0.002770083102493075,1994-04-19,2022-08-25
