match_id,home_team,away_team,kickoff_utc,bookmaker,home_odds,draw_odds,away_odds,odds_last_updated_utc,bookmaker_key,is_danske_spil,source,notes
WC2026-GRD-004,United States,Australia,2026-06-19T19:00:00Z,Danske Spil,1.62,4.25,5.25,2026-06-19T10:09:00Z,danske_spil,true,Danske Spil Oddset,United States 1.62 / Draw 4.25 / Australia 5.25
WC2026-GRC-003,Scotland,Morocco,2026-06-19T22:00:00Z,Danske Spil,5.25,3.6,1.75,2026-06-19T10:09:00Z,danske_spil,true,Danske Spil Oddset,Scotland 5.25 / Draw 3.6 / Morocco 1.75
WC2026-GRC-004,Brazil,Haiti,2026-06-20T01:00:00Z,Danske Spil,1.1,11.0,22.0,2026-06-19T10:09:00Z,danske_spil,true,Danske Spil Oddset,Brazil 1.1 / Draw 11.0 / Haiti 22.0
WC2026-GRD-003,Türkiye,Paraguay,2026-06-20T04:00:00Z,Danske Spil,2.08,3.4,3.75,2026-06-19T10:09:00Z,danske_spil,true,Danske Spil Oddset,Türkiye 2.08 / Draw 3.4 / Paraguay 3.75
WC2026-GRF-003,Netherlands,Sweden,2026-06-20T17:00:00Z,Danske Spil,1.78,3.8,4.5,2026-06-19T10:09:00Z,danske_spil,true,Danske Spil Oddset,Netherlands 1.78 / Draw 3.8 / Sweden 4.5
WC2026-GRE-003,Germany,Côte d'Ivoire,2026-06-20T20:00:00Z,Danske Spil,1.56,4.5,5.75,2026-06-19T10:09:00Z,danske_spil,true,Danske Spil Oddset,Germany 1.56 / Draw 4.5 / Côte d'Ivoire 5.75
WC2026-GRE-004,Ecuador,Curaçao,2026-06-21T00:00:00Z,Danske Spil,1.12,10.0,21.0,2026-06-19T10:09:00Z,danske_spil,true,Danske Spil Oddset,Ecuador 1.12 / Draw 10.0 / Curaçao 21.0
WC2026-GRF-004,Tunisia,Japan,2026-06-21T04:00:00Z,Danske Spil,6.25,4.0,1.56,2026-06-19T10:09:00Z,danske_spil,true,Danske Spil Oddset,Tunisia 6.25 / Draw 4.0 / Japan 1.56
WC2026-GRH-004,Spain,Saudi Arabia,2026-06-21T16:00:00Z,Danske Spil,1.11,10.0,23.0,2026-06-19T10:09:00Z,danske_spil,true,Danske Spil Oddset,Spain 1.11 / Draw 10.0 / Saudi Arabia 23.0
WC2026-GRG-003,Belgium,IR Iran,2026-06-21T19:00:00Z,Danske Spil,1.44,4.75,7.5,2026-06-19T10:09:00Z,danske_spil,true,Danske Spil Oddset,Belgium 1.44 / Draw 4.75 / IR Iran 7.5
WC2026-GRH-003,Uruguay,Cabo Verde,2026-06-21T22:00:00Z,Danske Spil,1.5,4.25,7.25,2026-06-19T10:09:00Z,danske_spil,true,Danske Spil Oddset,Uruguay 1.5 / Draw 4.25 / Cabo Verde 7.25
WC2026-GRG-004,New Zealand,Egypt,2026-06-22T01:00:00Z,Danske Spil,5.5,3.95,1.64,2026-06-19T10:09:00Z,danske_spil,true,Danske Spil Oddset,New Zealand 5.5 / Draw 3.95 / Egypt 1.64
WC2026-GRJ-003,Argentina,Austria,2026-06-22T17:00:00Z,Danske Spil,1.62,4.0,5.75,2026-06-19T10:09:00Z,danske_spil,true,Danske Spil Oddset,Argentina 1.62 / Draw 4.0 / Austria 5.75
WC2026-GRI-004,France,Iraq,2026-06-22T21:00:00Z,Danske Spil,1.09,11.5,26.0,2026-06-19T10:09:00Z,danske_spil,true,Danske Spil Oddset,France 1.09 / Draw 11.5 / Iraq 26.0
WC2026-GRI-003,Norway,Senegal,2026-06-23T00:00:00Z,Danske Spil,2.35,3.45,3.05,2026-06-19T10:09:00Z,danske_spil,true,Danske Spil Oddset,Norway 2.35 / Draw 3.45 / Senegal 3.05
WC2026-GRJ-004,Jordan,Algeria,2026-06-23T03:00:00Z,Danske Spil,5.5,4.0,1.62,2026-06-19T10:09:00Z,danske_spil,true,Danske Spil Oddset,Jordan 5.5 / Draw 4.0 / Algeria 1.62
WC2026-GRK-003,Portugal,Uzbekistan,2026-06-23T17:00:00Z,Danske Spil,1.22,7.0,13.0,2026-06-19T10:09:00Z,danske_spil,true,Danske Spil Oddset,Portugal 1.22 / Draw 7.0 / Uzbekistan 13.0
WC2026-GRL-003,England,Ghana,2026-06-23T20:00:00Z,Danske Spil,1.23,6.5,13.0,2026-06-19T10:09:00Z,danske_spil,true,Danske Spil Oddset,England 1.23 / Draw 6.5 / Ghana 13.0
WC2026-GRL-004,Panama,Croatia,2026-06-23T23:00:00Z,Danske Spil,6.25,4.25,1.56,2026-06-19T10:09:00Z,danske_spil,true,Danske Spil Oddset,Panama 6.25 / Draw 4.25 / Croatia 1.56
WC2026-GRK-004,Colombia,Congo DR,2026-06-24T02:00:00Z,Danske Spil,1.51,4.25,7.0,2026-06-19T10:09:00Z,danske_spil,true,Danske Spil Oddset,Colombia 1.51 / Draw 4.25 / Congo DR 7.0
WC2026-GRB-006,Bosnia and Herzegovina,Qatar,2026-06-24T19:00:00Z,Danske Spil,1.43,5.0,7.0,2026-06-19T10:09:00Z,danske_spil,true,Danske Spil Oddset,Bosnia and Herzegovina 1.43 / Draw 5.0 / Qatar 7.0
WC2026-GRB-005,Switzerland,Canada,2026-06-24T19:00:00Z,Danske Spil,2.46,3.15,3.15,2026-06-19T10:09:00Z,danske_spil,true,Danske Spil Oddset,Switzerland 2.46 / Draw 3.15 / Canada 3.15
WC2026-GRC-006,Morocco,Haiti,2026-06-24T22:00:00Z,Danske Spil,1.29,6.0,10.0,2026-06-19T10:09:00Z,danske_spil,true,Danske Spil Oddset,Morocco 1.29 / Draw 6.0 / Haiti 10.0
WC2026-GRC-005,Scotland,Brazil,2026-06-24T22:00:00Z,Danske Spil,7.25,4.75,1.44,2026-06-19T10:09:00Z,danske_spil,true,Danske Spil Oddset,Scotland 7.25 / Draw 4.75 / Brazil 1.44
WC2026-GRA-005,Czechia,Mexico,2026-06-25T01:00:00Z,Danske Spil,3.4,3.5,2.16,2026-06-19T10:09:00Z,danske_spil,true,Danske Spil Oddset,Czechia 3.4 / Draw 3.5 / Mexico 2.16
WC2026-GRA-006,South Africa,South Korea,2026-06-25T01:00:00Z,Danske Spil,5.5,3.95,1.65,2026-06-19T10:09:00Z,danske_spil,true,Danske Spil Oddset,South Africa 5.5 / Draw 3.95 / South Korea 1.65
WC2026-GRE-005,Curaçao,Côte d'Ivoire,2026-06-25T20:00:00Z,Danske Spil,18.0,9.0,1.13,2026-06-19T10:09:00Z,danske_spil,true,Danske Spil Oddset,Curaçao 18.0 / Draw 9.0 / Côte d'Ivoire 1.13
WC2026-GRE-006,Ecuador,Germany,2026-06-25T20:00:00Z,Danske Spil,5.0,3.8,1.7,2026-06-19T10:09:00Z,danske_spil,true,Danske Spil Oddset,Ecuador 5.0 / Draw 3.8 / Germany 1.7
WC2026-GRF-005,Japan,Sweden,2026-06-25T23:00:00Z,Danske Spil,2.17,3.4,3.4,2026-06-19T10:09:00Z,danske_spil,true,Danske Spil Oddset,Japan 2.17 / Draw 3.4 / Sweden 3.4
WC2026-GRF-006,Tunisia,Netherlands,2026-06-25T23:00:00Z,Danske Spil,8.75,5.5,1.33,2026-06-19T10:09:00Z,danske_spil,true,Danske Spil Oddset,Tunisia 8.75 / Draw 5.5 / Netherlands 1.33
WC2026-GRD-005,Türkiye,United States,2026-06-26T02:00:00Z,Danske Spil,2.8,3.55,2.43,2026-06-19T10:09:00Z,danske_spil,true,Danske Spil Oddset,Türkiye 2.8 / Draw 3.55 / United States 2.43
