match_id,home_score,away_score,result_status,result_favorite_outcome,result_last_checked_utc,result_source,result_notes
WC2026-GRA-001,2,0,final,home,2026-06-14T06:03:42Z,The Guardian,Mexico 2-0 South Africa
WC2026-GRA-002,2,1,final,home,2026-06-14T06:03:42Z,The Guardian,South Korea 2-1 Czechia
WC2026-GRB-001,1,1,final,home,2026-06-14T06:03:42Z,SB Nation,Canada 1-1 Bosnia and Herzegovina
WC2026-GRD-001,4,1,final,home,2026-06-14T06:03:42Z,The Guardian,United States 4-1 Paraguay
WC2026-GRB-002,1,1,final,away,2026-06-14T06:03:42Z,The Guardian,Qatar 1-1 Switzerland
WC2026-GRC-001,1,1,final,home,2026-06-14T06:03:42Z,The Guardian,Brazil 1-1 Morocco
WC2026-GRC-002,0,1,final,away,2026-06-14T06:03:42Z,The Guardian,Haiti 0-1 Scotland
WC2026-GRD-002,2,0,final,away,2026-06-14T06:03:42Z,The Guardian,Australia 2-0 Türkiye
WC2026-GRE-001,1,0,final,away,2026-06-17T17:51:17Z,The Guardian,Côte d'Ivoire 1-0 Ecuador
WC2026-GRF-001,2,2,final,home,2026-06-17T17:51:17Z,The Guardian,Netherlands 2-2 Japan
WC2026-GRE-002,7,1,final,home,2026-06-17T17:51:17Z,The Guardian,Germany 7-1 Curaçao
WC2026-GRF-002,5,1,final,home,2026-06-17T17:51:17Z,The Guardian,Sweden 5-1 Tunisia
WC2026-GRH-002,0,0,final,home,2026-06-17T17:51:17Z,The Guardian,Spain 0-0 Cabo Verde
WC2026-GRG-002,1,1,final,home,2026-06-17T17:51:17Z,The Guardian,Belgium 1-1 Egypt
WC2026-GRH-001,1,1,final,away,2026-06-17T17:51:17Z,The Guardian,Saudi Arabia 1-1 Uruguay
WC2026-GRG-001,2,2,final,home,2026-06-17T17:51:17Z,AP,IR Iran 2-2 New Zealand
WC2026-GRI-001,3,1,final,home,2026-06-17T17:51:17Z,The Guardian,France 3-1 Senegal
WC2026-GRI-002,1,4,final,away,2026-06-17T17:51:17Z,The Guardian,Iraq 1-4 Norway
WC2026-GRJ-001,3,0,final,home,2026-06-17T17:51:17Z,The Guardian,Argentina 3-0 Algeria
WC2026-GRJ-002,3,1,final,home,2026-06-17T17:51:17Z,The Guardian,Austria 3-1 Jordan
WC2026-GRK-001,1,1,final,home,2026-06-18T21:25:40Z,Axios,Portugal 1-1 Congo DR
WC2026-GRL-002,4,2,final,home,2026-06-18T21:25:40Z,The Guardian,England 4-2 Croatia
WC2026-GRL-001,1,0,final,away,2026-06-18T21:25:40Z,The Guardian,Ghana 1-0 Panama
WC2026-GRK-002,1,3,final,away,2026-06-18T21:25:40Z,The Guardian,Uzbekistan 1-3 Colombia
WC2026-GRA-003,1,1,final,away,2026-06-18T21:25:40Z,The Guardian,Czechia 1-1 South Africa
WC2026-GRB-003,4,1,final,home,2026-06-18T21:25:40Z,The Guardian,Switzerland 4-1 Bosnia and Herzegovina
WC2026-GRB-004,6,0,final,home,2026-06-19T00:00:00Z,The Guardian,Canada 6-0 Qatar
WC2026-GRA-004,1,0,final,home,2026-06-19T03:00:00Z,The Guardian,Mexico 1-0 South Korea
WC2026-GRD-004,2,0,final,home,2026-06-20T11:50:00Z,The Guardian,United States 2-0 Australia
WC2026-GRC-003,0,1,final,away,2026-06-20T11:50:00Z,The Guardian,Scotland 0-1 Morocco
WC2026-GRC-004,3,0,final,home,2026-06-20T11:50:00Z,The Guardian,Brazil 3-0 Haiti
WC2026-GRD-003,0,1,final,home,2026-06-20T11:50:00Z,The Guardian,Türkiye 0-1 Paraguay
WC2026-GRF-003,5,1,final,home,2026-06-21T10:55:00Z,The Guardian,Netherlands 5-1 Sweden
WC2026-GRE-003,2,1,final,home,2026-06-21T10:55:00Z,The Guardian,Germany 2-1 Côte d'Ivoire
WC2026-GRE-004,0,0,final,home,2026-06-21T10:55:00Z,The Guardian,Ecuador 0-0 Curaçao
WC2026-GRF-004,0,4,final,away,2026-06-21T10:55:00Z,The Guardian,Tunisia 0-4 Japan
WC2026-R32-001,0,1,final,,2026-06-29T14:45:00Z,"The Guardian match report, 2026-06-28",South Africa 0-1 Canada
WC2026-GRA-005,0,3,final,,2026-06-29T14:55:00Z,"The Guardian live blog, 2026-06-24",Czechia 0-3 Mexico
WC2026-GRA-006,1,0,final,,2026-06-29T14:55:00Z,"The Guardian live blog, 2026-06-24",South Africa 1-0 South Korea
WC2026-GRB-005,2,1,final,,2026-06-29T14:55:00Z,"The Guardian match report, 2026-06-24",Switzerland 2-1 Canada
WC2026-GRB-006,3,1,final,,2026-06-29T14:55:00Z,"The Guardian live blog, 2026-06-24",Bosnia and Herzegovina 3-1 Qatar
WC2026-GRC-005,0,3,final,,2026-06-29T14:55:00Z,"The Guardian live blog, 2026-06-25",Scotland 0-3 Brazil
WC2026-GRC-006,4,2,final,,2026-06-29T14:55:00Z,"The Guardian match report, 2026-06-25",Morocco 4-2 Haiti
WC2026-GRD-005,3,2,final,,2026-06-29T14:55:00Z,"The Guardian match report, 2026-06-25",Türkiye 3-2 United States
WC2026-GRD-006,0,0,final,,2026-06-29T14:55:00Z,"The Guardian live blog, 2026-06-25",Paraguay 0-0 Australia
WC2026-GRE-005,0,2,final,,2026-06-29T14:55:00Z,"The Guardian match report, 2026-06-26",Curaçao 0-2 Côte d’Ivoire
WC2026-GRE-006,2,1,final,,2026-06-29T14:55:00Z,"The Guardian match report, 2026-06-26",Ecuador 2-1 Germany
WC2026-GRF-005,1,1,final,,2026-06-29T14:55:00Z,"The Guardian live blog, 2026-06-26",Japan 1-1 Sweden
WC2026-GRF-006,1,3,final,,2026-06-29T14:55:00Z,"The Guardian match report, 2026-06-26",Tunisia 1-3 Netherlands
WC2026-GRG-003,0,0,final,,2026-06-29T14:55:00Z,"The Guardian live blog, 2026-06-27",Belgium 0-0 IR Iran
WC2026-GRG-004,1,3,final,,2026-06-29T14:55:00Z,"The Times, 2026-06-27",New Zealand 1-3 Egypt
WC2026-GRH-006,0,1,final,,2026-06-29T14:55:00Z,"The Guardian match report, 2026-06-27",Uruguay 0-1 Spain
WC2026-GRH-005,0,0,final,,2026-06-29T14:55:00Z,"The Guardian live blog, 2026-06-27",Cabo Verde 0-0 Saudi Arabia
WC2026-GRI-003,3,2,final,,2026-06-29T14:55:00Z,"The Guardian live blog, 2026-06-27",Norway 3-2 Senegal
WC2026-GRI-004,3,0,final,,2026-06-29T14:55:00Z,"Le Monde / Managing Madrid, 2026-06-27",France 3-0 Iraq
WC2026-GRJ-003,2,0,final,,2026-06-29T14:55:00Z,"The Guardian match report, 2026-06-27",Argentina 2-0 Austria
WC2026-GRJ-004,1,2,final,,2026-06-29T14:55:00Z,"The Guardian match report, 2026-06-27",Jordan 1-2 Algeria
WC2026-GRK-003,5,0,final,,2026-06-29T14:55:00Z,"The Guardian live blog, 2026-06-28",Portugal 5-0 Uzbekistan
WC2026-GRK-004,1,0,final,,2026-06-29T14:55:00Z,"The Times, 2026-06-28",Colombia 1-0 DR Congo
WC2026-GRL-003,0,0,final,,2026-06-29T14:55:00Z,"The Guardian live blog, 2026-06-28",England 0-0 Ghana
WC2026-GRL-004,0,1,final,,2026-06-29T14:55:00Z,"The Guardian live blog, 2026-06-28",Panama 0-1 Croatia
WC2026-GRG-005,1,1,final,,2026-06-29T14:55:00Z,"The Times, 2026-06-28",Egypt 1-1 IR Iran
WC2026-GRG-006,1,5,final,,2026-06-29T14:55:00Z,"The Times, 2026-06-28",New Zealand 1-5 Belgium
WC2026-GRH-004,1,1,final,,2026-06-29T14:55:00Z,"The Guardian live blog, 2026-06-28",Spain 1-1 Saudi Arabia
WC2026-GRH-003,0,1,final,,2026-06-29T14:55:00Z,"The Guardian live blog, 2026-06-28",Uruguay 0-1 Cabo Verde
WC2026-GRI-005,1,4,final,,2026-06-29T14:55:00Z,"The Guardian live blog, 2026-06-28",Norway 1-4 France
WC2026-GRI-006,5,0,final,,2026-06-29T14:55:00Z,"The Times, 2026-06-28",Senegal 5-0 Iraq
WC2026-GRJ-006,1,3,final,,2026-06-29T14:55:00Z,"Barca Blaugranes / The Times, 2026-06-28",Jordan 1-3 Argentina
WC2026-GRJ-005,3,3,final,,2026-06-29T14:55:00Z,"The Guardian / The Times, 2026-06-28",Algeria 3-3 Austria
WC2026-GRK-005,0,0,final,,2026-06-29T14:55:00Z,"The Guardian live blog, 2026-06-28",Colombia 0-0 Portugal
